词语	强度
脏乱	-7
糟报	-5
早衰	-5
责备	-5
贼眼	-5
战祸	-5
招灾	-5
折辱	-5
中山狼	-5
清莹	5
轻倩	5
晴丽	5
求索	3
热潮	5
仁政	5
荣名	5
柔腻	5
瑞雪	5
擅名	7
神采	5
省便	5
盛开	5
盛誉	5
诗仙	7
爽脆	5
素洁	3
诪张	-5
株连	-7
坠毁	-5
滋生	-5
自恃	-5
走后门	-5
阻力	-3
罪状	-9
做戏	-7
甜头	5
头名	5
婉妙	3
温淑	1
稳厚	3
沃壤	5
无上	5
喜人	5
先贤	5
鲜妍	5
相称	5
骁骑	3
新巧	5
新意	5
信奉	5
急智	3
技艺	3
雄劲	3
雄肆	3
秀俊	5
煦煦	5
勋绩	5
雅淡	5
雅兴	5
严整	5
泱泱	5
怡悦	5
义诊	5
英发	5
英伟	5
莹润	3
勇健	3
优厚	5
幽雅	5
有识	5
友邻	5
玉人	5
元勋	5
佳句	7
佳趣	5
兼爱	3
坚守	7
简雅	5
荐举	7
见称	7
见闻	1
奖旗	3
奖许	7
姣丽	5
娇丽	5
骄子	5
解惑	3
津要	5
金嗓子	3
匀净	3
赞词	3
真纯	3
箴言	5
珍玩	7
正理	5
指导	3
至理	7
致敬	5
智多星	5
忠魂	7
主力军	5
准绳	5
卓特	7
进益	5
奏凯	5
尊服	3
尽瘁	5
精白	3
精洁	7
精妙	5
精髓	7
精要	3
晶洁	5
景观	5
敬信	7
救亡	1
据实	1
眷怀	5
哀鸿遍野	-7
肮里肮脏	-5
英姿飒爽	9
有礼	9
易如反掌	9
为人正直	9
心地纯良	9
不成话	-5
昭然若揭	-9
有口无心	-9
有眼力	9
不干不净	-3
异彩纷呈	9
学富五车	9
心灵美	9
香馥馥	9
味道好	9
手脚不干净	-9
索然寡味	-9
死板板	-9
松垮垮	-9
危在旦夕	-9
无纪律	-9
无实质	-9
险峭	-1
不明不白	-5
不清不白	-7
不透明	-3
不雅	-3
不足为外人道	-3
有勇气	9
玄妙	-9
罪恶多端	-9
皱巴	-9
逞性子	-7
臭名昭彰	-9
哀梨蒸食	-7
度量小	-7
翻云覆雨	-5
腐化堕落	-9
高不成低不就	-3
孤单单	-5
寡断	-7
乖剌	-7
含糊不清	-5
毫不客气	-5
胡子拉碴	-3
荒诞派	-7
荒淫无度	-9
智能型	5
晦暝	-7
谆谆	5
昏黑	-3
铮亮	3
鸾凤和鸣	5
抱疚	-3
憋着一肚子气	-7
愁惨	-5
错愕	-7
掉魂	-7
发牢骚	-3
烦神	-5
忿忿不平	-5
惶然不安	-5
急死	-7
口诛笔伐	-5
骂得狗血喷头	-7
人身攻击	-5
杏眼圆睁	3
安好	1
安泰	1
叹为观止	7
尖嘴薄舌	-5
艰苦卓绝	7
心如铁石	-7
见风转舵	-7
倍儿棒	7
博闻广识	5
不落俗套	5
可骇	-9
不泄气	1
才气横溢	7
枯寂	-5
狂恣	-9
老辣	-5
肋脦	-7
哩哩罗罗	-3
凛然	7
令人厌倦	-7
碌碌无为	-7
马马虎虎	-5
莽莽撞撞	-5
没骨头	-7
没两下子	-7
没心眼儿	-3
模棱两可	-5
少见多怪	-3
难上难	-5
一塌糊涂	-9
只顾自身利益	-9
一个心眼儿	9
一级	9
有头脑	9
欣欣向荣	9
难驯服	-3
闹闹嚷嚷	-7
铺张浪费	-7
奇丑无比	-9
气壮如牛	3
穷途潦倒	-7
缺乏幽默	-5
弱智	-9
色迷迷	-9
傻里傻气	-5
食古不化	-7
喧天	-9
丰姿绰约	5
捉摸不定	-9
肝胆过人	3
高档化	3
革命性	3
功德无量	7
古朴	3
过得硬	3
很有抱负	5
数一数二	7
花容月貌	5
受吃	3
史无前例	7
滑天下之大稽	-7
深入人心	5
擅场	9
上赶	-7
井然有序	5
举足轻重	5
人寿年丰	7
俊俏	5
鼠胆	-9
心胸狭隘	-9
性格内向	-9
千姿百态	7
气度恢宏	9
越轨	-9
令人大开眼界	3
完美无疵	9
朴实无华	3
无上光荣	9
有嘴无心	9
逸乐	9
心宽	9
无污染	9
无拘束	9
闻过则喜	9
谈吐不俗	9
名副其实	5
喷香	3
哀莫大于心死	-9
安邦定国	9
金瓯无缺	7
我武惟扬	9
乃心王室	9
尽忠报国	9
杀身报国	9
忧国忘身	9
济世经邦	9
兴利除弊	9
猫鼠同处	-9
四海鼎沸	-7
出疆载质	-9
委国听令	-9
国步艰难	-7
立国安邦	9
溽热	-1
欢快	5
如意	3
得志	3
好日子	5
欢娱	5
庆幸	3
喜气	5
兴高采烈	7
快意	5
乐陶陶	5
逗人	5
眉开眼笑	5
笑逐言开	5
